iter	Passed	Remaining
0	137	274299
1	278	277722
2	408	272159
3	580	289543
4	746	297731
5	893	296931
6	1020	290567
7	1160	289039
8	1550	342925
9	1691	336574
10	1828	330578
11	1961	325030
12	2091	319716
13	2213	314037
14	2352	311330
15	2531	313907
16	2666	311002
17	2805	308877
18	2932	305712
19	3062	303224
20	3197	301339
21	3333	299755
22	3462	297645
23	3591	295726
24	3729	294630
25	3856	292819
26	3983	291068
27	4112	289648
28	4236	287940
29	4362	286471
30	4484	284824
31	4608	283414
32	4731	282039
33	4863	281217
34	4983	279771
35	5105	278510
36	5233	277673
37	5370	277273
38	5489	276018
39	5618	275317
40	5739	274223
41	5862	273314
42	5985	272405
43	6119	272056
44	6253	271682
45	6446	273830
46	6570	273019
47	6691	272114
48	6827	271829
49	6945	270882
50	7076	270417
51	7201	269790
52	7333	269395
53	7460	268850
54	7584	268232
55	7708	267589
56	7833	267032
57	7956	266405
58	8080	265826
59	8121	262588
60	8245	262092
61	8382	262023
62	8504	261487
63	8617	260683
64	8723	259681
65	8852	259412
66	8975	258944
67	9115	258987
68	9269	259415
69	9427	259938
70	9558	259686
71	9714	260138
72	9848	259964
73	10013	260617
74	10146	260436
75	10307	260940
76	10413	260062
77	10521	259266
78	10626	258404
79	10753	258075
80	10882	257824
81	10982	256890
82	11114	256706
83	11221	255950
84	11343	255571
85	11453	254911
86	11558	254153
87	11693	254070
88	11797	253320
89	11905	252670
90	12015	252055
91	12122	251401
92	12227	250728
93	12336	250132
94	12442	249496
95	12569	249289
96	12613	247449
97	12716	246813
98	12824	246254
99	12936	245791
100	13042	245216
101	13148	244670
102	13259	244210
103	13364	243653
104	13473	243155
105	13582	242688
